# ###################################################
# INSTITUTO GEOFÍSICO -ESCUELA POLITÉCNICA NACIONAL #
#                                                   #
#                                                    
# IG-EPN Catálogo Sísmico Instrumental del Ecuador
# Copyright (C) Instituto Geofísico - Escuela Politécnica Nacional
# Quito - Ecuador
# https://www.igepn.edu.ec/
# Fecha de generación: 22-Jan-2026
# 
# 
# Estos datos corresponden a las magnitudes de los eventos sismicos
# Los eventos son los de magnitudes 3.5 o más y registrados en Ecuador
# 
# Explicacion de los campos incluidos:
#
# event:                  código del evento al cual están asociadas las magnitudes
# orig_id:                identificador del evento sísmico al cual se asocian las magnitudes
# magnitude_value:        valor de la magnitud calculada y promediada 
# magnitude_uncertainty:  incertidumbre en el calculo de la magnitud
# magnitude_type:         tipo de magnitud
# methodID:               método para el cálculo de las magnitudes
# stationCount:           número de estaciones con la que se calculó la magnitud
# agencyID:               fuente de generación de los datos
# 
#
#event,orig_id, magnitude_value, magnitude_uncertainty, magnitude_type, methodID, stationCount, agencyID
igepn2012bafq,   2766,  3.6, 0.33,      MLv,                 mean,   28,  IG-EPN
igepn2012bafq,   2766,  3.6,  NaN,        M,     weighted average,   28,  IG-EPN
igepn2012bbjo,   2772,  4.8, 0.23,      MLv,                 mean,   14,  IG-EPN
igepn2012bbjo,   2772,  4.8,  NaN,        M,     weighted average,   14,  IG-EPN
igepn2012bhrl,   2832,  5.5, 0.18,      MLv,         trimmed mean,   27,  IG-EPN
igepn2012bhrl,   2832,  5.6, 0.35,       mb,         trimmed mean,   11,  IG-EPN
igepn2012bhrl,   2832,  5.5, 0.26,       mB,         trimmed mean,   10,  IG-EPN
igepn2012bhrl,   2832,  5.0, 0.40,   Mw(mB),                     ,   10,  IG-EPN
igepn2012bhrl,   2832,  5.6, 0.00,      Mwp,                 mean,    1,  IG-EPN
igepn2012bhrl,   2832,  5.4, 0.40,  Mw(Mwp),                     ,    1,  IG-EPN
igepn2012bhrl,   2832,  5.3,  NaN,        M,     weighted average,   27,  IG-EPN
igepn2012acvi,   2610,  3.8, 0.34,      MLv,         trimmed mean,    9,  IG-EPN
igepn2012acvi,   2610,  3.8,  NaN,        M,     weighted average,    9,  IG-EPN
igepn2012acxo,   2611,  3.8, 0.76,      MLv,                 mean,   30,  IG-EPN
igepn2012acxo,   2611,  3.8,  NaN,        M,     weighted average,   30,  IG-EPN
igepn2012ahkn,   2643,  3.8, 0.49,      MLv,                 mean,   14,  IG-EPN
igepn2012ahkn,   2643,  3.8,  NaN,        M,     weighted average,   14,  IG-EPN
igepn2012ahzg,   2647,  3.9, 0.44,      MLv,                 mean,   21,  IG-EPN
igepn2012ahzg,   2647,  3.9,  NaN,        M,     weighted average,   21,  IG-EPN
igepn2012ajib,   2651,  3.8, 0.47,      MLv,                 mean,   14,  IG-EPN
igepn2012ajib,   2651,  3.8,  NaN,        M,     weighted average,   14,  IG-EPN
igepn2012akby,   2660,  3.9, 0.36,      MLv,                 mean,   28,  IG-EPN
igepn2012akby,   2660,  3.9,  NaN,        M,     weighted average,   28,  IG-EPN
igepn2012aohm,   2691,  3.7, 0.44,      MLv,                 mean,   16,  IG-EPN
igepn2012aohm,   2691,  3.7,  NaN,        M,     weighted average,   16,  IG-EPN
igepn2012arvk,   2715,  5.0, 0.38,      MLv,         trimmed mean,   25,  IG-EPN
igepn2012arvk,   2715,  4.9, 0.15,       mb,         trimmed mean,   16,  IG-EPN
igepn2012arvk,   2715,  5.2, 0.14,       mB,         trimmed mean,    7,  IG-EPN
igepn2012arvk,   2715,  4.6, 0.40,   Mw(mB),                     ,    7,  IG-EPN
igepn2012arvk,   2715,  4.8,  NaN,        M,     weighted average,   25,  IG-EPN
igepn2012asax,   2718,  3.7, 0.62,      MLv,                 mean,   33,  IG-EPN
igepn2012asax,   2718,  3.7,  NaN,        M,     weighted average,   33,  IG-EPN
igepn2012bcib,   2780,  4.2, 0.47,      MLv,                 mean,   30,  IG-EPN
igepn2012bcib,   2780,  4.2,  NaN,        M,     weighted average,   30,  IG-EPN
igepn2012bhst,   2833,  4.1, 0.38,      MLv,                 mean,   11,  IG-EPN
igepn2012bhst,   2833,  4.1,  NaN,        M,     weighted average,   11,  IG-EPN
igepn2012blvz,   2868,  4.2, 0.40,      MLv,                 mean,   15,  IG-EPN
igepn2012blvz,   2868,  4.2,  NaN,        M,     weighted average,   15,  IG-EPN
igepn2012bmsf,   2879,  3.7, 0.61,      MLv,                 mean,   26,  IG-EPN
igepn2012bmsf,   2879,  3.7,  NaN,        M,     weighted average,   26,  IG-EPN
igepn2012bvdf,   2969,  4.0, 0.37,      MLv,                 mean,   19,  IG-EPN
igepn2012bvdf,   2969,  4.0,  NaN,        M,     weighted average,   19,  IG-EPN
igepn2012cggf,   3048,  3.7, 0.48,      MLv,                 mean,   13,  IG-EPN
igepn2012cggf,   3048,  3.7,  NaN,        M,     weighted average,   13,  IG-EPN
igepn2012chcg,   3058,  3.5, 0.43,      MLv,                 mean,   21,  IG-EPN
igepn2012chcg,   3058,  3.5,  NaN,        M,     weighted average,   21,  IG-EPN
igepn2012cmky,   3100,  3.8, 0.72,      MLv,                 mean,   29,  IG-EPN
igepn2012cmky,   3100,  3.8,  NaN,        M,     weighted average,   29,  IG-EPN
igepn2012cnke,   3108,  4.0, 0.78,      MLv,                 mean,   18,  IG-EPN
igepn2012cnke,   3108,  4.0,  NaN,        M,     weighted average,   18,  IG-EPN
igepn2012cpdt,   3124,  4.3, 0.40,      MLv,                 mean,   24,  IG-EPN
igepn2012cpdt,   3124,  4.3,  NaN,        M,     weighted average,   24,  IG-EPN
igepn2012cpro,   3130,  4.2, 0.41,      MLv,                 mean,   21,  IG-EPN
igepn2012cpro,   3130,  4.2,  NaN,        M,     weighted average,   21,  IG-EPN
igepn2012cpup,   3132,  3.6, 0.55,      MLv,                 mean,    2,  IG-EPN
igepn2012cpup,   3132,  3.6,  NaN,        M,     weighted average,    2,  IG-EPN
igepn2012ctwn,   3171,  4.0, 0.70,      MLv,                 mean,   29,  IG-EPN
igepn2012ctwn,   3171,  4.0,  NaN,        M,     weighted average,   29,  IG-EPN
igepn2012cxcu,   3186,  4.4, 0.45,      MLv,                 mean,   24,  IG-EPN
igepn2012cxcu,   3186,  4.4,  NaN,        M,     weighted average,   24,  IG-EPN
igepn2012dend,   3236,  3.7, 0.36,      MLv,                 mean,   14,  IG-EPN
igepn2012dend,   3236,  3.7,  NaN,        M,     weighted average,   14,  IG-EPN
igepn2012dkgu,   3272,  4.3, 0.41,      MLv,                 mean,   21,  IG-EPN
igepn2012dkgu,   3272,  4.3,  NaN,        M,     weighted average,   21,  IG-EPN
igepn2012dkhy,   3273,  4.1, 0.45,      MLv,                 mean,   13,  IG-EPN
